compound,score
bortezomib,-0.608812605
MG-132,-0.605157477
GSK-1059615,-0.582382754
PIK3CA,-0.579985464
dasatinib,-0.571904042
Y-39983,-0.561908841
PD-0325901,-0.557594089
PI-103,-0.556612308
WH-4-025,-0.553595174
EGFP,-0.549744927
AZD-6482,-0.548292279
torin-1,-0.547950429
CYT387,-0.547657437
CHIR-99021,-0.546357536
canertinib,-0.545738308
irbesartan,-0.544055552
OSI-027,-0.541446221
brivanib,-0.541438161
geldanamycin,-0.541310881
AS-605240,-0.540378885
withaferin-a,-0.5403256
ruxolitinib,-0.540027004
apafant,-0.537624975
buparlisib,-0.537211455
roscovitine,-0.535091749
linsitinib,-0.534573334
clonidine,-0.534115986
foretinib,-0.534115324
SMAD3,-0.533743563
olaparib,-0.533504866
XMD-1150,-0.531901748
SMAD2,-0.531352426
trametinib,-0.531219656
GDC-0941,-0.531050558
veliparib,-0.530874715
Z160,-0.530807749
cediranib,-0.530732019
PF-04691502,-0.530137471
NVP-TAE684,-0.530110785
tesaglitazar,-0.52993136
sorafenib,-0.529492277
SMAD4,-0.529464239
ingenol-mebutate,-0.529450246
nintedanib,-0.529241833
IOWH-032,-0.528518497
ENMD-2076,-0.527793562
TINF2,-0.527763137
KIN001-055,-0.527570485
AKT2,-0.527476232
PD-173074,-0.527394957
CDH1,-0.526788135
MTTP,-0.526479532
lafutidine,-0.525689707
CXCR4,-0.525443462
telmisartan,-0.525225815
KRAS,-0.525208124
AS-601245,-0.524732243
MK-2206,-0.524706276
adenosine,-0.524595264
"2',5'-dideoxyadenosine",-0.52453763
mesulergine,-0.524426396
JW-7-24-1,-0.524345181
NVP-DPP728,-0.524220852
IGF2BP2,-0.524086277
HG-5-113-01,-0.523833097
ERBB3,-0.523725311
SAR-245408,-0.523277558
vortioxetine,-0.52282019
alisertib,-0.522736137
phorbol-myristate-acetate,-0.522512327
CP-466722,-0.5222287
sertindole,-0.521765078
3-amino-benzamide,-0.521544842
PD-184352,-0.521287531
ubenimex,-0.521027144
CHMP2A,-0.52093472
MLN-0128,-0.520754788
sulfafurazole,-0.520754022
binimetinib,-0.520737568
MTOR,-0.520082894
PPP2R2C,-0.519837484
indoramin,-0.519767221
DIDO1,-0.519689313
NF1,-0.519506954
semagacestat,-0.519457577
XMD-16144,-0.519382297
diazepam,-0.519336559
crizotinib,-0.518941581
radicicol,-0.518934292
GSK-1904529A,-0.518861896
everolimus,-0.518832508
aliskiren,-0.518756782
CGP-60474,-0.518645967
bafilomycin a1,-0.518526094
atenolol-(+/-),-0.518497063
CO-102862,-0.518208447
TLK2,-0.518033263
GDC-0980,-0.517837817
BMS-387032,-0.517755824
